Sold Price,Status,Address,List Date,Sold Date,DOM,Location,Total number of bedrooms,Total number of Baths,TotFl ,The year in which it was build,Age,FrontageFt,Depth,Total number of Kitchens,TypeDwel ,Style of Home
"$640,000",S,8636 12TH AVENUE,11/18/2010,12-11-2010,23,Burnaby East,4,2,"1,789",1954,56,59,141,1,House/Single Family,3 Level Split
"$640,000",S,2679 NOEL DRIVE,02-06-2012,2/13/2012,7,Burnaby North,5,2,"2,088",1960,52,66,125,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$640,000",S,7120 RIDGE DRIVE,07-11-2011,8/13/2011,33,Burnaby North,4,2,"2,070",9999,999,58,120,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$640,000",S,7697 CANADA WAY,6/20/2014,8/13/2014,54,Burnaby East,4,2,"2,135",9999,999,33,110,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$640,000",S,4032 MARINE DRIVE,2/17/2012,07-05-2012,139,Burnaby South,3,2,"1,550",1940,72,77,176,2,House/Single Family,2 Storey
"$640,000",S,6625 DUFFERIN AVENUE,05-03-2011,6/18/2011,46,Burnaby South,5,2,"2,068",1974,37,0,irregular,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$640,000",S,8659 11TH AVENUE,11-08-2012,1/23/2013,76,Burnaby East,3,1,"1,539",1954,58,59,141,1,House/Single Family,Rancher/Bungalow
"$640,000",S,7335 14TH AVENUE,07-05-2011,07-11-2011,6,Burnaby East,4,2,"2,431",1946,65,56,113,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$640,000",S,6939 ARCOLA STREET,10/17/2011,10/29/2011,12,Burnaby South,3,2,"2,128",1960,51,33,120,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$640,000",S,8268 PATTERSON AVENUE,12/20/2013,1/20/2014,31,Burnaby South,4,2,"1,769",1953,60,59,103,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$640,000",S,7995 16TH AVENUE,1/17/2014,1/22/2014,5,Burnaby East,2,1,"1,295",1953,61,53,111,1,House/Single Family,Rancher/Bungalow
"$640,000",S,LOT A 3761-3767 SUNSET STREET,11-07-2011,12/27/2011,50,Burnaby South,5,4,"2,174",2012,0,33,120,1,House/Single Family,2 Storey
"$640,000",S,7669 CUMBERLAND STREET,4/26/2011,05-02-2011,6,Burnaby East,3,1,"1,984",1954,57,50,150,1,House/Single Family,2 Storey
"$640,000",S,5909 BERWICK STREET,05-10-2010,07-05-2010,56,Burnaby South,3,1,"1,800",1955,55,51,117,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$640,000",S,6976 MCBRIDE STREET,1/24/2011,1/30/2011,6,Burnaby South,4,2,"1,912",9999,999,52,118,2,House/Single Family,2 Storey
"$640,500",S,7360 11TH AVENUE,08-09-2010,8/19/2010,10,Burnaby East,5,3,"2,075",1986,24,31,,2,House/Single Family,2 Storey
"$641,000",S,7065 ELWELL STREET,2/27/2014,03-02-2014,3,Burnaby South,2,1,945,1955,59,33,120,1,House/Single Family,Rancher/Bungalow
"$641,000",S,4331 PARKER STREET,8/24/2010,09-01-2010,8,Burnaby North,4,2,"1,540",9999,999,33,122,1,House/Single Family,2 Storey
"$642,000",S,5043 MANOR STREET,5/15/2012,6/27/2012,43,Burnaby North,6,3,"2,519",1988,24,33,,2,House/Single Family,2 Storey
"$643,000",S,4850 GREENTREE PLACE,7/20/2012,8/21/2012,32,Burnaby South,3,2,"1,792",1973,39,49,93,1,House/Single Family,3 Level Split
"$643,000",S,8127 12TH AVENUE,11/29/2010,12-07-2010,8,Burnaby East,3,2,"2,782",1962,48,49,146,2,House/Single Family,Basement Entry
"$643,000",S,5807 MCKEE STREET,7/27/2010,11/18/2010,114,Burnaby South,3,1,"1,379",1954,56,66,132,1,House/Single Family,3 Level Split
"$644,000",S,4231 UNION STREET,10-11-2010,12-05-2010,55,Burnaby North,4,2,"1,680",1956,54,33,122,2,House/Single Family,2 Storey
"$644,500",S,2661 NOEL DRIVE,1/27/2010,02-04-2010,8,Burnaby North,4,2,"1,725",1959,51,65,131,2,House/Single Family,3 Level Split
"$645,000",S,9855 STILL CREEK AVENUE,11-03-2010,11/17/2010,14,Burnaby North,6,2,"2,262",1961,49,70,110,2,House/Single Family,2 Storey
"$645,000",S,7607 ELWELL STREET,8/16/2010,9/21/2010,36,Burnaby South,3,3,"3,079",1988,22,110,32.64,1,House/Single Family,"2 Storey w/Bsmt., 3 Storey"
"$645,000",S,7714 MARY AVENUE,7/14/2010,2/19/2011,220,Burnaby East,5,2,"2,240",9999,999,53.64,140.52,2,House/Single Family,2 Storey w/Bsmt.
"$645,000",S,4530 GEORGIA STREET,02-04-2010,02-08-2010,4,Burnaby North,5,2,"2,040",1961,49,33,122,2,House/Single Family,2 Storey
"$645,000",S,7034 MALIBU DRIVE,2/19/2010,2/19/2010,0,Burnaby North,4,2,"2,352",1951,59,60,120,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$645,000",S,3718 SPRUCE STREET,07-07-2011,11/19/2011,135,Burnaby South,6,2,"2,240",9999,999,33,122,1,House/Single Family,2 Storey
"$645,000",S,7776 14TH AVENUE,03-01-2011,03-10-2011,9,Burnaby East,4,3,"2,600",1949,62,55,110,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$645,000",S,9259 HOLMES STREET,09-08-2011,10-11-2011,33,Burnaby East,3,2,"1,660",1955,56,52,142,2,House/Single Family,1 Storey
"$645,000",S,4667 BURKE STREET,03-12-2010,4/22/2010,41,Burnaby South,4,2,"2,150",9999,999,55,101,2,House/Single Family,2 Storey
"$645,013",S,5350 MCKEE STREET,03-11-2010,3/13/2010,2,Burnaby South,3,1,"1,290",1951,59,52,,1,House/Single Family,Rancher/Bungalow
"$645,100",S,7156 BUFFALO STREET,6/24/2010,9/19/2010,87,Burnaby North,3,1,"1,917",1971,39,68,115,1,House/Single Family,Split Entry
"$646,000",S,8247 10TH AVENUE,04-08-2015,4/21/2015,13,Burnaby East,4,2,"1,739",1956,59,33,131,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$647,000",S,9855 STILL CREEK AVENUE,08-01-2012,12/16/2012,137,Burnaby North,10,8,"2,262",1961,51,70,110,2,House/Single Family,2 Storey w/Bsmt.
"$648,000",S,8055 17TH AVENUE,08-04-2010,08-09-2010,5,Burnaby East,5,3,"2,092",1958,52,50,,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$648,888",S,6770 CANADA WAY,4/13/2011,07-01-2011,79,Burnaby South,5,2,"2,198",1963,48,50,121,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$649,000",S,7969 PATTERSON AVENUE,06-09-2010,9/19/2010,102,Burnaby South,5,2,"2,120",1955,55,60,,2,House/Single Family,2 Storey
"$649,000",S,5011 CLAUDE AVENUE,8/19/2013,11/28/2013,101,Burnaby South,2,2,892,1936,77,45,242,1,House/Single Family,Rancher/Bungalow
"$649,000",S,1785 PEPPERIDGE COURT,4/23/2013,06-01-2013,39,Burnaby North,3,3,"2,034",1980,33,,,1,House/Single Family,2 Storey w/Bsmt.
"$649,500",S,6942 6TH STREET,02-04-2011,2/14/2011,10,Burnaby South,4,2,"2,000",1944,67,61.3,106,1,House/Single Family,Rancher/Bungalow w/Loft
"$650,000",S,5055 MANOR STREET,12-01-2010,01-12-2011,42,Burnaby North,7,3,"2,534",1988,22,33,133,2,House/Single Family,2 Storey
"$650,000",S,6436 RUMBLE STREET,9/27/2011,2/13/2012,139,Burnaby South,3,2,"1,612",1954,57,50,120,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$650,000",S,8426 GILLEY AVENUE,7/19/2013,12-12-2013,146,Burnaby South,0,2,"2,200",9999,999,66,149,0,House/Single Family,2 Storey
"$650,000",S,6237 RUMBLE STREET,11-10-2011,1/18/2012,69,Burnaby South,3,2,"2,256",1945,66,55,156,1,House/Single Family,"Corner Unit, Rancher/Bungalow w/Bsmt."
"$650,000",S,8049 GILLEY AVENUE,4/15/2013,09-06-2013,144,Burnaby South,4,3,"2,054",1955,58,55,,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$650,000",S,7631 CUMBERLAND STREET,9/23/2011,11/13/2011,51,Burnaby East,4,2,"1,778",1947,64,63,105,1,House/Single Family,2 Storey
"$650,000",S,1504 MADISON AVENUE,10-01-2010,01-05-2011,96,Burnaby North,4,2,"2,000",1949,61,50,122,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$650,000",S,8245 19TH AVENUE,09-08-2010,12-02-2010,85,Burnaby South,4,2,"1,950",1954,56,50,147,1,House/Single Family,2 Storey
"$650,000",S,7201 INLET DRIVE,5/20/2010,06-12-2010,23,Burnaby North,4,2,"2,150",1951,59,60,122,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$650,000",S,7718 GOODLAD STREET,3/15/2011,3/20/2011,5,Burnaby South,4,3,"2,050",1965,46,66,100,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$650,000",S,5240 SPROTT STREET,1/15/2013,05-06-2013,111,Burnaby South,4,3,"1,939",1970,43,73,115,1,House/Single Family,2 Storey
"$650,000",S,3796 IRMIN STREET,11/26/2012,01-04-2013,39,Burnaby South,4,2,"2,040",1953,59,53,120,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$650,000",S,8445 15TH AVENUE,4/29/2011,5/14/2011,15,Burnaby East,2,1,"1,800",9999,999,96.5,69.6,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$650,000",S,7520 17TH AVENUE,12/28/2009,01-07-2010,10,Burnaby East,3,1,"1,880",9999,999,66,101,1,House/Single Family,2 Storey
"$650,000",S,8285 17TH AVENUE,4/25/2012,6/15/2012,51,Burnaby East,4,1,"1,950",1954,58,57,132,1,House/Single Family,2 Storey
"$650,000",S,6336 BROADWAY AVENUE,10/24/2013,11-03-2013,10,Burnaby North,3,2,"2,152",1959,54,50,120,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$650,000",S,8464 11TH AVENUE,04-05-2013,06-07-2013,63,Burnaby East,5,2,"1,602",1955,58,51,142,1,House/Single Family,"Basement Entry, Rancher/Bungalow w/Bsmt."
"$650,000",S,4077 CLINTON STREET,04-12-2010,4/23/2010,11,Burnaby South,4,2,"2,221",1955,55,50,135,1,House/Single Family,2 Storey
"$650,000",S,5223 MARINE DRIVE,9/14/2011,10/17/2011,33,Burnaby South,4,2,"2,420",1957,54,63,120,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$650,000",S,8262 WEDGEWOOD STREET,05-07-2012,10/16/2012,162,Burnaby South,4,2,"2,144",1955,57,51,167,2,House/Single Family,"2 Storey, Rancher/Bungalow w/Bsmt."
"$650,000",S,5357 CARSON STREET,9/26/2011,12-11-2011,76,Burnaby South,4,2,"1,918",1955,56,37,121,1,House/Single Family,2 Storey
"$650,000",S,7986 17TH AVENUE,03-07-2011,3/24/2011,17,Burnaby East,4,2,"2,173",1953,58,53,111,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$650,000",S,7590 BOUNDARY ROAD,04-02-2014,04-04-2014,2,Burnaby South,2,2,"1,800",9999,999,53,122,1,House/Single Family,Rancher/Bungalow
"$650,000",S,6367 LOUGHEED HIGHWAY,07-04-2012,5/24/2014,689,Burnaby North,5,2,"2,292",1956,56,50,123,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$650,000",S,8566 KARRMAN AVENUE,2/15/2013,4/18/2013,62,Burnaby East,3,3,"1,534",1954,59,57,106,1,House/Single Family,"2 Storey, Basement Entry"
"$650,000",S,461 DUTHIE AVENUE,02-11-2011,2/18/2011,7,Burnaby North,4,1,"1,916",1956,55,64,93,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$650,000",S,4236 PENDER STREET,5/25/2011,06-07-2011,13,Burnaby North,3,2,"1,850",1955,56,33,122,1,House/Single Family,2 Storey
"$651,000",S,7696 BURGESS STREET,2/20/2014,2/21/2014,1,Burnaby East,3,1,"1,500",9999,999,44,110,1,House/Single Family,1 Storey
"$651,000",S,7923 17TH AVENUE,5/14/2011,5/28/2011,14,Burnaby East,3,1,"1,800",1951,60,53,111,1,House/Single Family,2 Storey
"$651,100",S,4717 PENDER STREET,8/30/2011,09-02-2011,3,Burnaby North,4,2,"2,224",9999,999,33,122,1,House/Single Family,2 Storey
"$651,101",S,4335 GEORGIA STREET,6/15/2010,6/19/2010,4,Burnaby North,4,2,"1,877",1953,57,33,122,1,House/Single Family,2 Storey
"$652,000",S,6685 HERSHAM AVENUE,3/18/2011,3/27/2011,9,Burnaby South,2,1,800,1949,62,40,166,1,House/Single Family,1 Storey
"$652,000",S,8070 18TH AVENUE,3/31/2010,04-06-2010,6,Burnaby East,6,3,"2,400",1958,52,50,138,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$652,000",S,8412 MCGREGOR AVENUE,1/28/2010,02-06-2010,9,Burnaby South,2,2,"1,900",1956,54,122,66,1,House/Single Family,3 Level Split
"$652,000",S,7546 ELWELL STREET,2/28/2011,3/31/2011,31,Burnaby South,3,1,"1,328",1951,60,66,94,1,House/Single Family,1 Storey
"$653,000",S,7575 CUMBERLAND STREET,08-10-2011,11/17/2011,99,Burnaby East,4,2,"1,800",1951,60,52,168,2,House/Single Family,2 Storey
"$654,000",S,4770 CANADA WAY,1/20/2014,1/26/2014,6,Burnaby South,3,1,"2,240",1969,45,73,115,2,House/Single Family,2 Storey
"$654,000",S,4513 PENDER STREET,2/24/2014,03-04-2014,8,Burnaby North,2,1,800,9999,999,33,122,1,House/Single Family,Rancher/Bungalow
"$655,000",S,5897 IMPERIAL STREET,06-10-2010,6/22/2010,12,Burnaby South,4,3,"2,391",1973,37,42,132,1,House/Single Family,2 Storey w/Bsmt.
"$655,000",S,4487 SMITH AVENUE,11/17/2009,2/21/2010,96,Burnaby South,5,2,"2,133",1932,77,67,117,2,House/Single Family,"2 Storey w/Bsmt., Rancher/Bungalow w/Bsmt."
"$655,000",S,5630 WILLINGDON AVENUE,03-08-2010,3/16/2010,8,Burnaby South,5,0,"2,650",1962,48,50,122,1,House/Single Family,2 Storey w/Bsmt.
"$655,000",S,6564 NEVILLE STREET,9/14/2010,10/26/2010,42,Burnaby South,3,2,"1,800",1950,60,50,120,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$655,000",S,7984 12TH AVENUE,11/13/2012,11/14/2012,1,Burnaby East,3,2,"1,552",1947,65,49.5,143,2,House/Single Family,Rancher/Bungalow
"$655,000",S,6080 MCKEE STREET,08-09-2011,08-09-2011,0,Burnaby South,4,2,"2,092",1964,47,33,122',1,House/Single Family,2 Storey
"$655,000",S,7536 18TH AVENUE,08-04-2010,08-08-2010,4,Burnaby East,5,3,"2,140",1994,16,33,,2,House/Single Family,Basement Entry
"$655,000",S,7764 ELFORD STREET,5/20/2011,5/30/2011,10,Burnaby East,2,1,"1,930",1955,56,50,121,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$655,000",S,55 HOWARD AVENUE,06-12-2010,01-11-2011,213,Burnaby North,4,2,"2,427",1965,45,33,122,2,House/Single Family,2 Storey
"$655,000",S,6709 ROYAL OAK AVENUE,2/14/2011,2/24/2011,10,Burnaby South,3,1,"1,445",1948,63,50,124,1,House/Single Family,1 1/2 Storey
"$655,000",S,8406 12TH AVENUE,3/16/2010,4/28/2010,43,Burnaby East,3,2,"2,240",1955,55,50,135,2,House/Single Family,2 Storey
"$655,000",S,7130 SPERLING AVENUE,2/16/2012,2/21/2012,5,Burnaby South,2,1,"2,137",9999,999,49,108,1,House/Single Family,Basement Entry
"$656,000",S,7540 19TH AVENUE,1/29/2010,02-09-2010,11,Burnaby East,5,3,"2,280",1987,23,33,113,2,House/Single Family,2 Storey
"$656,000",S,5436 RUMBLE STREET,01-04-2011,01-10-2011,6,Burnaby South,5,3,"2,304",1983,28,32,115,2,House/Single Family,2 Storey
"$656,500",S,8012 15TH AVENUE,12/19/2009,1/19/2010,31,Burnaby East,6,3,"2,725",1930,79,51,146,2,House/Single Family,2 Storey w/Bsmt.
"$657,000",S,5520 DOMINION STREET,01-04-2011,1/13/2011,9,Burnaby North,6,4,"2,624",1983,28,33,132,1,House/Single Family,2 Storey
"$657,000",S,8251 10TH AVENUE,12/13/2011,02-03-2012,52,Burnaby East,4,3,"3,050",1949,63,33,130,1,House/Single Family,2 Storey w/Bsmt.
"$657,725",S,7536 HUMPHRIES COURT,1/13/2012,1/14/2012,1,Burnaby East,3,2,"2,126",1950,62,47,139,2,House/Single Family,Other
"$658,000",S,4849 GREENTREE PLACE,1/30/2013,3/15/2013,44,Burnaby South,4,3,"1,727",1975,38,37,94,1,House/Single Family,2 Storey w/Bsmt.
"$658,000",S,4654 CANADA WAY,03-11-2012,03-11-2012,0,Burnaby South,3,2,"1,750",1950,62,66,106,1,House/Single Family,Rancher/Bungalow
"$658,000",S,5389 KEITH STREET,10-08-2010,01-07-2011,91,Burnaby South,2,1,"1,600",1957,53,62,106,1,House/Single Family,1 Storey
"$658,000",S,7005 RIDGE DRIVE,04-06-2010,04-12-2010,6,Burnaby North,3,2,"2,120",1950,60,60,115,1,House/Single Family,2 Storey
"$659,000",S,6476 THORNE AVENUE,03-11-2014,3/19/2014,8,Burnaby South,4,2,"2,684",1952,62,126,269,1,House/Single Family,2 Storey w/Bsmt.
"$659,000",S,5566 KEITH STREET,4/19/2010,6/13/2010,55,Burnaby South,4,4,"2,232",1956,54,55,120,2,House/Single Family,2 Storey
"$659,000",S,8573 10TH AVENUE,2/17/2015,3/17/2015,28,Burnaby East,4,2,"2,252",1957,58,53,108,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$659,000",S,6991 6TH STREET,9/23/2011,10-01-2011,8,Burnaby South,3,3,"1,864",1973,38,120,50,1,House/Single Family,3 Level Split
"$660,000",S,7640 14TH AVENUE,4/29/2013,5/20/2013,21,Burnaby East,4,2,"2,080",1971,42,34,131,1,House/Single Family,"2 Storey, Rancher/Bungalow w/Bsmt."
"$660,000",S,3727 PRICE STREET,07-09-2012,10-09-2012,92,Burnaby South,3,1,0,9999,999,40,,1,House/Single Family,2 Storey w/Bsmt.
"$660,000",S,6026 MCKEE STREET,02-08-2013,3/22/2013,42,Burnaby South,3,2,"1,963",1960,53,33,122,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$660,000",S,7690 CANADA WAY,5/13/2010,8/23/2010,102,Burnaby East,4,1,"2,870",1950,60,60,IRREGULAR,1,House/Single Family,"2 Storey w/Bsmt., Corner Unit"
"$660,000",S,6633 ELWELL STREET,02-07-2011,2/13/2011,6,Burnaby South,4,2,"2,400",1960,51,50,114,2,House/Single Family,"2 Storey, Split Entry"
"$660,000",S,4020 VENABLES STREET,5/13/2010,6/14/2010,32,Burnaby North,5,2,"2,024",1958,52,47,122,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$660,000",S,4950 GEORGIA STREET,9/22/2010,9/23/2010,1,Burnaby North,5,2,"1,682",1957,53,50,122,1,House/Single Family,2 Storey
"$660,000",S,7610 MAYFIELD STREET,10-04-2010,10-12-2010,8,Burnaby South,3,2,"2,017",1956,54,,,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$660,000",S,6461 HALIFAX STREET,6/30/2010,07-09-2010,9,Burnaby North,2,2,"2,450",1961,49,60,121,1,House/Single Family,2 Storey
"$660,000",S,8237 17TH AVENUE,12-08-2011,12-08-2011,0,Burnaby East,2,2,"1,950",1954,57,50,136,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$660,000",S,3976 RUMBLE STREET,08-08-2011,10/14/2011,67,Burnaby South,4,2,"2,244",1951,60,89.3,IRREGULAR,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$660,000",S,5963 PATRICK STREET,5/18/2010,5/25/2010,7,Burnaby South,4,2,"2,278",1953,57,51,121,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$660,000",S,2825 NOEL DRIVE,05-01-2012,8/15/2012,106,Burnaby North,4,1,"2,152",1959,53,60,192,1,House/Single Family,2 Storey
"$660,000",S,5106 PORTLAND STREET,5/31/2012,6/22/2012,22,Burnaby South,4,4,"2,050",1925,87,38,123,2,House/Single Family,"2 Storey, Corner Unit"
"$660,000",S,4738 MAITLAND STREET,1/18/2010,1/25/2010,7,Burnaby South,5,2,"1,600",1963,47,33,148,2,House/Single Family,2 Storey
"$660,000",S,6578 NEVILLE STREET,09-06-2010,9/16/2010,10,Burnaby South,3,2,"1,850",1950,60,50,120,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$660,000",S,4169 KENNY COURT,9/13/2010,10/31/2010,48,Burnaby South,2,2,"1,537",1972,38,66,92,1,House/Single Family,Rancher/Bungalow
"$660,000",S,4112 EDINBURGH STREET,6/14/2013,12/30/2013,199,Burnaby North,3,1,"1,746",1947,66,33,122,1,House/Single Family,2 Storey
"$661,000",S,7494 18TH AVENUE,08-07-2014,8/13/2014,6,Burnaby East,4,2,"1,960",1924,90,44,103,2,House/Single Family,2 Storey w/Bsmt.
"$661,000",S,7606 CUMBERLAND STREET,05-02-2011,05-05-2011,3,Burnaby East,4,2,"2,080",1952,59,70,120,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$662,000",S,137 HOWARD AVENUE,10/15/2011,10/20/2011,5,Burnaby North,2,2,"1,568",1920,91,33,122,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$662,000",S,5888 SPROTT STREET,1/26/2011,03-04-2011,37,Burnaby North,1,4,"2,800",1910,101,66,106,1,House/Single Family,2 Storey
"$662,000",S,4136 WINNIFRED STREET,01-10-2010,1/14/2010,4,Burnaby South,4,2,"2,165",1950,60,54,133,1,House/Single Family,2 Storey
"$662,000",S,8911 ARMSTRONG AVENUE,11/25/2014,12-04-2014,9,Burnaby East,4,2,"2,100",9999,999,45,99,2,House/Single Family,1 1/2 Storey
"$662,100",S,7207 BRIDLEWOOD COURT,06-06-2010,09-06-2010,92,Burnaby North,3,3,"2,927",1981,29,37,92,1,House/Single Family,2 Storey w/Bsmt.
"$662,500",S,4264 PENDER STREET,8/21/2013,8/30/2013,9,Burnaby North,3,2,"1,550",1941,72,33,122,2,House/Single Family,"2 Storey, Rancher/Bungalow w/Bsmt."
"$662,500",S,4143 PARKER STREET,2/21/2011,04-09-2011,47,Burnaby North,6,3,"2,627",1925,86,33,122,2,House/Single Family,2 Storey w/Bsmt.
"$663,000",S,2450 NORCREST COURT,1/28/2014,8/13/2014,197,Burnaby North,4,2,"2,242",1976,38,50.52,106.98,1,House/Single Family,Basement Entry
"$663,000",S,4487 WILLIAM STREET,2/18/2010,2/23/2010,5,Burnaby North,6,2,"2,200",1947,63,50,122,1,House/Single Family,2 Storey
"$663,500",S,7736 CARIBOO ROAD,8/13/2013,8/18/2013,5,Burnaby East,4,2,"2,112",9999,999,50,121,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$663,999",S,4857 GEORGIA STREET,2/21/2011,03-06-2011,13,Burnaby North,4,2,"1,804",1936,75,33,122,1,House/Single Family,1 1/2 Storey
"$665,000",S,10 N FELL AVENUE,01-10-2013,1/20/2013,10,Burnaby North,5,3,"2,430",1981,32,33,122,2,House/Single Family,2 Storey
"$665,000",S,7621 ENDERSBY STREET,04-01-2010,4/14/2010,13,Burnaby East,5,3,"2,100",1955,55,59,120,2,House/Single Family,Other
"$665,000",S,3141 NOEL DRIVE,7/23/2010,08-02-2010,10,Burnaby North,3,2,"1,968",1957,53,60,121,2,House/Single Family,2 Storey
"$665,000",S,1670 SPERLING AVENUE,9/13/2012,9/14/2012,1,Burnaby North,3,2,"2,000",1969,43,55,124,1,House/Single Family,2 Storey w/Bsmt.
"$665,000",S,6458 NEVILLE STREET,4/16/2010,05-03-2010,17,Burnaby South,4,2,"1,872",1950,60,50,123,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$665,000",S,8696 ARMSTRONG AVENUE,05-07-2014,6/14/2014,38,Burnaby East,6,3,"2,600",1952,62,83,84,1,House/Single Family,2 Storey w/Bsmt.
"$665,000",S,4131 ETON STREET,01-08-2011,2/21/2011,44,Burnaby North,3,2,"1,942",9999,999,33,122,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$665,000",S,5924 10TH AVENUE,9/15/2015,01-04-2016,111,Burnaby South,5,3,"2,500",1948,68,80,128.4,2,House/Single Family,2 Storey
"$665,000",S,8606 11TH AVENUE,3/14/2011,3/19/2011,5,Burnaby East,3,1,"1,770",1956,55,60.8,135,1,House/Single Family,3 Level Split
"$665,000",S,5420 CANADA WAY,7/25/2011,09-07-2011,44,Burnaby South,5,2,"2,023",1968,43,66,123,2,House/Single Family,2 Storey
"$665,000",S,6626 GRIFFITHS AVENUE,7/18/2013,7/23/2013,5,Burnaby South,2,1,"1,350",1955,58,33,,1,House/Single Family,1 Storey
"$665,000",S,7787 MCCARTHY COURT,5/13/2010,07-09-2010,57,Burnaby South,3,3,"2,102",2002,8,40,109,1,House/Single Family,2 Storey
"$665,000",S,4020 ROYAL OAK AVENUE,09-11-2012,10-01-2012,20,Burnaby South,4,3,"1,871",1945,67,96,100,1,House/Single Family,2 Storey w/Bsmt.
"$665,000",S,5108 CARSON STREET,10-01-2010,11/15/2010,45,Burnaby South,3,2,"2,032",1961,49,66,122,2,House/Single Family,2 Storey
"$665,000",S,3754 IMPERIAL STREET,08-11-2012,10-05-2012,55,Burnaby South,4,2,"2,260",1959,53,50,134,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$665,500",S,7266 2ND STREET,01-10-2013,02-04-2013,25,Burnaby South,3,3,"1,732",9999,999,35,109/IRR,1,House/Single Family,"2 Storey, 3 Level Split"
"$666,000",S,8125 18TH AVENUE,2/21/2010,03-03-2010,10,Burnaby East,4,3,"2,526",1976,34,33,145.7,2,House/Single Family,Basement Entry
"$666,000",S,8523 KARRMAN AVENUE,02-01-2011,03-12-2011,39,Burnaby East,4,3,"3,120",1955,56,57,113,1,House/Single Family,Split Entry
"$666,000",S,6921 BALMORAL STREET,5/21/2012,5/31/2012,10,Burnaby South,5,2,"2,021",1939,73,33,120,2,House/Single Family,Rancher/Bungalow
"$666,000",S,6310 ELGIN AVENUE,3/15/2007,1/18/2010,1040,Burnaby South,4,2,"2,000",9999,999,50.04,155,2,House/Single Family,2 Storey
"$667,000",S,4260 ETON STREET,12/28/2010,1/30/2011,33,Burnaby North,4,2,"1,920",1964,46,33,122,1,House/Single Family,2 Storey
"$667,000",S,7375 NEWCOMBE STREET,11-09-2014,11-12-2014,3,Burnaby East,4,1,"2,040",1955,59,49,109,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$667,800",S,5890 BROADWAY,8/30/2010,10/25/2010,56,Burnaby North,6,2,"1,923",1962,48,60,105,2,House/Single Family,Split Entry
"$667,888",S,7287 11TH AVENUE,01-11-2010,1/24/2010,13,Burnaby East,6,4,"2,464",1995,15,38,140,1,House/Single Family,Basement Entry
"$668,000",S,7238 17TH AVENUE,01-10-2010,2/15/2010,36,Burnaby East,5,3,"2,444",1983,27,42.98,101.65,1,House/Single Family,2 Storey
"$668,000",S,7772 ELWELL STREET,9/24/2010,10-10-2010,16,Burnaby South,3,2,"2,180",1973,37,50,207,1,House/Single Family,Basement Entry
"$668,000",S,7240 2ND STREET,02-12-2013,3/28/2013,44,Burnaby South,5,3,"2,340",1971,42,33,107,2,House/Single Family,2 Storey
"$668,000",S,7311 CURTIS STREET,2/16/2011,05-02-2011,75,Burnaby North,2,1,"1,384",9999,999,50,120,1,House/Single Family,Rancher/Bungalow
"$668,000",S,4652 ALBERT STREET,1/20/2014,4/27/2014,97,Burnaby North,4,1,"2,240",9999,999,33,122,1,House/Single Family,2 Storey w/Bsmt.
